address,instruction,opcode,x,y,n,kk,nnn,description
0x02B0,0x2334,0x2000,0x0003,0x0003,0x0004,0x0034,0x0334,SUBROUTINE_CALL_0x0334
0x02B2,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x02B4,0x8000,0x8000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_V[0x0000]
0x02B6,0x6705,0x6000,0x0007,0x0000,0x0005,0x0005,0x0705,SET_V[0x0007]_EQUALSTO_0x0005
0x02B8,0x6806,0x6000,0x0008,0x0000,0x0006,0x0006,0x0806,SET_V[0x0008]_EQUALSTO_0x0006
0x02BA,0x6904,0x6000,0x0009,0x0000,0x0004,0x0004,0x0904,SET_V[0x0009]_EQUALSTO_0x0004
0x02BC,0x611F,0x6000,0x0001,0x0001,0x000F,0x001F,0x011F,SET_V[0x0001]_EQUALSTO_0x001F
0x02BE,0x6510,0x6000,0x0005,0x0001,0x0000,0x0010,0x0510,SET_V[0x0005]_EQUALSTO_0x0010
0x02C0,0x6207,0x6000,0x0002,0x0000,0x0007,0x0007,0x0207,SET_V[0x0002]_EQUALSTO_0x0007
0x02C2,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x02C4,0x40E0,0x4000,0x0000,0x000E,0x0000,0x00E0,0x00E0,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x00E0
0x02C6,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x02C8,0x40C0,0x4000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x00C0
0x02CA,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
0x02CC,0x00E0,0x0000,0x0000,0x000E,0x0000,0x00E0,0x00E0,CLEAR_SCREEN
0x02CE,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
0x02D0,0x4060,0x4000,0x0000,0x0006,0x0000,0x0060,0x0060,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0060
0x02D2,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
0x02D4,0x4040,0x4000,0x0000,0x0004,0x0000,0x0040,0x0040,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0040
0x02D6,0x6000,0x6000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_0x0000
0x02D8,0x20E0,0x2000,0x0000,0x000E,0x0000,0x00E0,0x00E0,SUBROUTINE_CALL_0x00E0
0x02DA,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x02DC,0xC040,0xC000,0x0000,0x0004,0x0000,0x0040,0x0040,SET_V[0x0000]_EQUALSTO_RANDOM
0x02DE,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
